area_name_en,area_name_ar,id
DASMAN,دسمان,1
AL-SHARQ,الشرق,2
AL-MURGAB,المرقاب,3
AL-SOOR PARKS,حدائق السور,4
AL-QIBLA,القبلة,5
BNIED AL-GAR,بنيد القار,6
AL-DASMA,الدسمة,7
AL-MANSOURIA,المنصورية,8
ABDULLAH AL-SALEM,ضاحية عبدالله السالم,9
AL-SHAMIYA,الشامية,10
AL-DAIYA,الدعية,11
AL-QADISIYA,القادسية,12
AL-NUZHA,النزهة,13
AL-FAIHA,الفيحاء,14
KAIFAN,كيفان,15
AL-RAWDA,الروضة,16
AL-ADAILIYA,العديلية,17
AL-KHALIDIYA,الخالدية,18
AL-SURA,السرة,19
QURTOBA,قرطبة,20
AL-YARMOUK,اليرموك,21
AL-SHUWAIKH,الشويخ,22
AL-SHUWAIKH INDUSTRIAL,الشويخ الصناعية,23
GARNATA,غرناطة,24
AL-MUBARAKIYA CAMPS,معسكرات المباركية,25
AL-SHUWAIKH MEDICAL,الشويخ الصحية,26
AL-SULAIBIKHAT,الصليبيخات,27
AL-DOHA RESIDENTIAL,الدوحة السكنية,28
AL-DOHA PORT,ميناء الدوحة,29
FAILAKA ISLAND,جزيرة فيلكا,30
AL-DOHA CHALETS,شاليهات الدوحة,31
NORTH WEST SULIBIKHAT,شمال غرب الصليبيخات,32
JABER AL-AHMED CITY,مدينة جابر الأحمد,33
HAWALLI,حولي,34
AL-SALMIYA,السالمية,35
ALSHAAB,الشعب,36
AL-RUMAITHIYA,الرميثية,37
SALWA,سلوى,38
AL-BIDA,البدع,39
MISHRIEF,مشرف,40
MUBARAK AL-ABDULLAH,مبارك العبدالله,41
BAYAN,بيان,42
AL-JABRIYA,الجابرية,43
MINISTRIES AREA,منطقة وزارات,44
AL-SHUHADA,الشهداء,45
AL-ZAHRA,الزهراء,46
HATEEN,حطين,47
AL-SIDDIQ,الصديق,48
AL-SALAM,السلام,49
ANJAFA,أنجفة,50
AL-AHMADI CITY,مدينة الأحمدي,51
AL-FAHAHEEL,الفحيحيل,52
AL-SABAHIYA,الصباحية,53
SOUTH AL-SABAHIYA,جنوب الصباحية,54
AL-RIQQA,الرقة,55
HADIYA,هدية,56
AL-FINTAS,الفنطاس,57
JABER AL-ALI,جابر العلي,58
AL-AQILA,العقيلة,59
AL-MAHBULA,المهبولة,60
ABU HALIFA,أبو حليفة,61
ALMANGAF,المنقف,62
AL-DHAHER,الظهر,63
AL-SHUAIBA,الشعيبة,64
AL-SHUAIBA INDUSTRIAL,الشعيبة الصناعية غ,65
ABDULLAH PORT,ميناء عبدالله صناعية,66
ABDULLAH PORT CHALETS,شاليهات ميناء عبدالله,67
AL-NUWAISEEB CHALETS,شاليهات النويصيب,68
AL-KHAIRAN CHALETS,شاليهات الخيران,69
AL-ZOOR CHALETS,شاليهات الزور,70
JULAIA CHALETS,شاليهات الجليعة,71
BNAIDER CHALETS,شاليهات بنيدر,72
AL-DUBAIYA CHALETS,شاليهات الضباعية,73
AL-ZOOR,الزور,74
AL-WAFRA,الوفرة,75
AL-WAFRA RESIDENTIAL,الوفرة السكنية,76
WAFRA FARMS,مزارع الوفرة,77
AL-AHMADI GOVERNORATE DESERT,بر محافظة الأحمدي,78
SOUTH JAWAKHER,الجواخير الجنوبية,79
FAHAD AL-AHMAD AL-JABER,فهد الأحمد الجابر,80
ALI SABAH AL-SALIM,علي صباح السالم,81
RAJM KHASHMAN,رجم خشمان,82
SABAH AL-AHMAD SEA CITY,صباح الأحمد البحرية,83
SABAH AL-AHMAD CITY 1,صباح الأحمد 1,84
SABAH AL-AHMAD CITY 2,صباح الأحمد 2,85
SABAH AL-AHMAD CITY 3,صباح الأحمد 3,86
SABAH AL-AHMAD CITY 4,صباح الأحمد 4,87
SABAH AL-AHMAD CITY 5,صباح الأحمد 5,88
KABAD AGRICULTURAL,كبد الزراعية,89
AL-KHAIRAN RESIDENTIAL,الخيران السكنية,90
AL-SHADADIYA INDUSTRAIL,الشدادية الصناعية,91
AL-JAHRA,الجهراء,92
AL-QASR,القصر,93
AL-NAEEEM,النعيم,94
AL-NASSEEM,النسيم,95
TAIMA,تيماء,96
AL-WAHA,الواحة,97
AL-OYOUN,العيون,98
AL-JAHRA INDUSTRIAL 1,الجهراء الصناعية الحرفية 1,99
AL-SULAIBIYA RESIDENTIAL,الصليبية السكنية,100
AL-SULAIBIYA INDUSTRAIL 1,الصليبية الصناعية 1,101
AL-SULAIBIYA INDUSTRAIL 2,الصليبية الصناعية 2,102
AL-SULAIBIYA INDUSTRAIL 3,الصليبية الصناعية 3,103
AL-SULAIBIYA AGRICULTURAL,الصليبية الزراعية,104
AL-ABDALLI,العبدلي,105
AMGHARA INDUSTRIAL,أمغرة الصناعية,106
AL-MUTLA,المطلاع,107
KAZMAH,كاظمة,108
AL-RAWADATAIN,الروضتين,109
UM ALAISH,أم العيش,110
AL-SALMI,السالمي,111
KABAD,كبد,112
AL-SUBIYA,الصبية,113
AL-JAHRA CAMPS,معسكرات الجهراء,114
AL-JAHRA GOVERNORATE DESERT,بر محافظة الجهراء,115
SAAD AL-ABDULLAH,سعد العبدالله,116
AL-QAIRAWAN,القيروان,117
JAWAKHER AL-JAHRA,جواخير الجهراء,118
NOURTH WEST AL-JAHRA,شمال غرب الجهراء,119
AL-NAAYIM INDUSTRIAL,النعايم الصناعية,120
SOUTH AL-MITLAE,جنوب المطلاع,121
AL-SULAIBIKHAT CEMETERY,مقبرة الصليبيخات,122
SOUTH AMGHARA,جنوب أمغرة,123
AL-NAHDA,النهضة,124
AL-FARAWANIYA,الفروانية,125
KHAITAN,خيطان,126
AL-RAI,الري,127
AL-OMARIYA,العمرية,128
AL-RABIYA,الرابية,129
AL-RIHAB,الرحاب,130
JLEEB AL-SHUYOUKH,جليب الشيوخ,131
AL-RIGGAE,الرقعي,132
AL-ANDALUS,الأندلس,133
AL-ARDIYA,العارضية,134
SABAH AL-NASSER,صباح الناصر,135
AL-ARDIYA GOVERNORATE USE,العارضية استعمال الحكومة,136
ASHBELYA,اشبيلية,137
AL-ARDIYA STORES,العارضية مخازن,138
AL-FORDOUS,الفردوس,139
AL-DHAJEEJ,الضجيج,140
THE AIRPORT,المطار,141
ABDULLAH AL-MUBARAK,عبدالله المبارك,142
AL-ARDIYA INDUSTRIAL,العارضية الحرفية,143
WEST ABDULLAH AL-MUBARAK,غرب عبدالله المبارك,144
MUBARAK AL-KABEER,مبارك الكبير,145
AL-QURIAN,القرين,146
AL-ADAN,العدان,147
AL-QUSOUR,القصور,148
AL-MISILA,المسيلة,149
AL-MASAYEL,المسايل,150
SABAH AL-SALEM,صباح السالم,151
AL-FUNAITEES,الفنيطيس,152
SABHAN INDUSTRAIL,صبحان الصناعية,153
ABU FUTAIRA,أبو فطيرة,154
CENTRAL AREA,المنطقة الوسطى,155
WEST ABU FUTAIRA,غرب أبو فطيرة,156
ABU AL-HASANIYA,أبو الحصانية,157
NOT STATED,غير مبين,158