edu_Illiterate,edu_read_write,edu_primary,edu_intermediate,edu_secondary,edu_above_secondary_below_university,edu_university,edu_above_university,edu_not_stated,gender,governorate_id
3547,35551,26015,79214,67898,9429,35349,1791,16823,Male,1
6608,50179,20139,41088,42048,10404,42652,1049,15124,Female,1
2286,28745,41308,129899,131787,15812,87889,1961,20254,Male,2
5986,56280,32832,69313,70497,20508,63904,1184,23240,Female,2
4894,44888,56693,167911,171122,22348,36910,732,27546,Male,3
10313,45737,32228,56759,49562,13718,33483,275,25880,Female,3
3983,34459,39348,103882,48240,7049,17502,421,20328,Male,4
12349,32363,28787,49533,31269,8200,20431,101,19310,Female,4
4134,36813,75013,282419,217996,23779,50329,852,23313,Male,5
9931,42504,33371,63138,47470,18958,35078,352,23796,Female,5
1579,19593,13608,28556,27072,4929,11138,410,10691,Male,6
3395,24181,12630,19349,21538,5543,18262,200,9992,Female,6
29,338,45,197,171,8,36,4,1032,Male,7
18,89,42,50,31,3,8,1,999,Female,7