age_group,gender,government_worker,non_government_worker,domestic_worker,unemployed,student,full_time_home_worker,retired_with_income,not_stated
15-19,Male,198,1112,72,23,99323,0,0,21937
15-19,Female,31,430,26,9,95802,2893,0,18402
20-24,Male,13409,27704,7462,1107,54179,0,2,21901
20-24,Female,11535,5237,2321,268,64446,2976,0,16931
25-29,Male,37423,179443,54540,2286,18682,0,47,15887
25-29,Female,40679,20649,35595,1253,22260,12598,10,16091
30-34,Male,41904,235449,57403,1852,11206,0,186,10805
30-34,Female,44928,32132,61138,1621,13255,21602,86,12881
35-39,Male,44961,229739,54715,1466,5953,0,588,11702
35-39,Female,45544,33114,63470,1650,7472,23246,529,12665
40-44,Male,39575,209754,53340,1214,2771,0,3134,8890
40-44,Female,36493,27280,63813,1418,4466,19086,1954,10470
45-49,Male,29505,152389,39146,1263,1722,0,9010,6212
45-49,Female,25275,19902,50294,1274,3948,15484,6663,7968
50-54,Male,19074,113188,26732,1142,783,0,13971,4704
50-54,Female,12684,14519,30239,1037,3086,15344,10865,6472
55-59,Male,11451,70237,11196,1376,180,0,16568,2775
55-59,Female,4991,8660,13451,810,1014,15862,11760,5434
60-64,Male,6848,28745,4268,771,41,0,13201,3307
60-64,Female,1822,3857,4487,92,293,13661,10487,3723
64-120,Male,3816,19978,1508,1495,15,0,17567,14408
64-120,Female,1149,2439,1631,565,224,27768,9839,14108